Symbol,Stock Exchange,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ERI,NASDAQ,"Eldorado Resorts, Inc.",20.7,$977.15M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/eri
ESIO,NASDAQ,"Electro Scientific Industries, Inc.",8.32,$271.82M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esio
EA,NASDAQ,Electronic Arts Inc.,109.1,$33.63B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ea
EFII,NASDAQ,"Electronics for Imaging, Inc.",46.6,$2.17B,1992,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/efii
ELSE,NASDAQ,"Electro-Sensors, Inc.",3.8499,$13.07M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/else
ELEC,NASDAQ,Electrum Special Acquisition Corporation,10,$250M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/elec
EBIO,NASDAQ,"Eleven Biotherapeutics, Inc.",1.7,$41.99M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebio
DWAC,NASDAQ,Elkhorn Commodity Rotation Strategy ETF,24.52,$2.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwac
ESBK,NASDAQ,Elmira Savings Bank NY (The),20.5,$55.45M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esbk
ELTK,NASDAQ,Eltek Ltd.,0.62,$6.29M,1997,Technology,Electrical Products,http://www.nasdaq.com/symbol/eltk
EMCI,NASDAQ,EMC Insurance Group Inc.,26.56,$564.64M,1982,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/emci
EMCF,NASDAQ,Emclaire Financial Corp,29.25,$62.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/emcf
EMKR,NASDAQ,EMCORE Corporation,10.675,$286.38M,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/emkr
EMMS,NASDAQ,Emmis Communications Corporation,3.07,$38.06M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/emms
NYNY,NASDAQ,"Empire Resorts, Inc.",23.45,$731.1M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nyny
ENTA,NASDAQ,"Enanta Pharmaceuticals, Inc.",33.31,$634.26M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/enta
ECPG,NASDAQ,Encore Capital Group Inc,36.2,$931.7M,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
WIRE,NASDAQ,Encore Wire Corporation,41.95,$870.4M,1992,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/wire
ENDP,NASDAQ,Endo International plc,13.57,$3.03B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/endp
ECYT,NASDAQ,"Endocyte, Inc.",2.905,$123.38M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ecyt
ELGX,NASDAQ,"Endologix, Inc.",6.995,$580.41M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/elgx
NDRA,NASDAQ,ENDRA Life Sciences Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ndra
EIGI,NASDAQ,"Endurance International Group Holdings, Inc.",7.8,$1.11B,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/eigi
WATT,NASDAQ,Energous Corporation,15.54,$319.95M,2014,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/watt
EFOI,NASDAQ,"Energy Focus, Inc.",3.095,$36.46M,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/efoi
EHR,NASDAQ,"Energy Hunter Resources, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ehr
ERII,NASDAQ,"Energy Recovery, Inc.",7.52,$405.97M,2008,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/erii
EXXI,NASDAQ,"Energy XXI Gulf Coast, Inc.",26.85,$891.73M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ENOC,NASDAQ,"EnerNOC, Inc.",5.5,$172.33M,2007,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/enoc
ENG,NASDAQ,ENGlobal Corporation,1.3614,$36.96M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,NASDAQ,"Enphase Energy, Inc.",0.8251,$69.54M,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,NASDAQ,Enstar Group Limited,184,$3.57B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,NASDAQ,Entegra Financial Corp.,23.25,$150.08M,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,NASDAQ,"Entegris, Inc.",23.95,$3.39B,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,NASDAQ,"Entellus Medical, Inc.",13.43,$294.34M,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
ETRM,NASDAQ,EnteroMedics Inc.,4.75,$32.81M,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/etrm
EBTC,NASDAQ,Enterprise Bancorp Inc,30.74,$355.62M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,NASDAQ,Enterprise Financial Services Corporation,42.1,$988.58M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
EGT,NASDAQ,Entertainment Gaming Asia Incorporated,2.21,$31.97M,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt
ENZY          ,NASDAQ,Enzymotec Ltd.,8.7,$199.62M,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy
EPZM,NASDAQ,"Epizyme, Inc.",16.325,$952.7M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,NASDAQ,ePlus inc.,72.5,$2.05B,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,NASDAQ,"Equinix, Inc.",431.1,$33.59B,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
EQFN,NASDAQ,Equitable Financial Corp.,10.25,$34.75M,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EQBK,NASDAQ,"Equity Bancshares, Inc.",30.48,$371.92M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk
ERIC,NASDAQ,Ericsson,6.475,$21.19B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,NASDAQ,Erie Indemnity Company,115.17,$6.02B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ESCA,NASDAQ,"Escalade, Incorporated",12.4,$177.9M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESPR,NASDAQ,"Esperion Therapeutics, Inc.",36.53,$825.21M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESSA,NASDAQ,"ESSA Bancorp, Inc.",14.79,$170.06M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,NASDAQ,ESSA Pharma Inc.,1.92,$55.87M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,NASDAQ,Essendant Inc.,17.06,$639.74M,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ETSY,NASDAQ,"Etsy, Inc.",11.26,$1.31B,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,NASDAQ,Euro Tech Holdings Company Limited,3.1,$6.39M,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,NASDAQ,"Euronet Worldwide, Inc.",83.9,$4.4B,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,NASDAQ,Euroseas Ltd.,1.1392,$12.44M,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,NASDAQ,"EV Energy Partners, L.P.",1.11,$54.8M,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVBG,NASDAQ,"Everbridge, Inc.",24.55,$668.64M,2016,n/a,n/a,http://www.nasdaq.com/symbol/evbg
EVK,NASDAQ,"Ever-Glory International Group, Inc.",2.65,$39.2M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
MRAM,NASDAQ,"Everspin Technologies, Inc.",9.97,$124.63M,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVLV,NASDAQ,EVINE Live Inc.,1.26,$76.82M,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVGN,NASDAQ,Evogene Ltd.,5.2049,$133.6M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/evgn
EVOK,NASDAQ,"Evoke Pharma, Inc.",2.68,$41.24M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,NASDAQ,"Evolving Systems, Inc.",5.45,$67.93M,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,NASDAQ,Exa Corporation,12.66,$188.75M,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,NASDAQ,Exact Sciences Corporation,33.77,$3.75B,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,NASDAQ,"Exactech, Inc.",30.25,$432.94M,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
EXEL,NASDAQ,"Exelixis, Inc.",21.61,$6.32B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,NASDAQ,EXFO Inc,4.6,$105.47M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,NASDAQ,"ExlService Holdings, Inc.",49.92,$1.68B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,NASDAQ,"Expedia, Inc.",139.81,$21.1B,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,NASDAQ,"Expeditors International of Washington, Inc.",53.06,$9.56B,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,NASDAQ,"Exponent, Inc.",60.25,$1.56B,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,NASDAQ,Express Scripts Holding Company,59.63,$35.39B,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
XOG,NASDAQ,"Extraction Oil & Gas, Inc.",16.465,$2.83B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
EXTR,NASDAQ,"Extreme Networks, Inc.",9.24,$1.02B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
EYEG,NASDAQ,"Eyegate Pharmaceuticals, Inc.",1.87,$20.34M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg
EZPW,NASDAQ,"EZCORP, Inc.",8.65,$469.63M,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
FFIV,NASDAQ,"F5 Networks, Inc.",129.15,$8.28B,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,NASDAQ,"Facebook, Inc.",150.33,$435.68B,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb
FRP,NASDAQ,"FairPoint Communications, Inc.",14.9,$406.25M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
FALC,NASDAQ,"FalconStor Software, Inc.",0.285,$12.65M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc
DAVE,NASDAQ,"Famous Dave&#39;s of America, Inc.",4.15,$28.87M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave
FANH,NASDAQ,Fanhua Inc.,7.95,$463.12M,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fanh
FARM,NASDAQ,Farmer Brothers Company,33.4,$562.51M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm
FMAO,NASDAQ,"Farmers & Merchants Bancorp, Inc.",50.95,$235.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fmao
FFKT,NASDAQ,Farmers Capital Bank Corporation,39.65,$297.85M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt
FMNB,NASDAQ,Farmers National Banc Corp.,14.325,$387.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb
FARO,NASDAQ,"FARO Technologies, Inc.",34.175,$570.45M,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
FAST,NASDAQ,Fastenal Company,44.735,$12.94B,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
FATE,NASDAQ,"Fate Therapeutics, Inc.",4.01,$165.96M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate
FBSS,NASDAQ,"Fauquier Bankshares, Inc.",18.6,$70.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss
FBRC,NASDAQ,FBR & Co,16.85,$119.62M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc
FNHC,NASDAQ,Federated National Holding Company,15.15,$209.88M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/fnhc
FHCO,NASDAQ,Female Health Company (The),0.99,$31.02M,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/fhco
FENX,NASDAQ,"Fenix Parts, Inc.",0.89,$17.93M,2015,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/fenx
GSM,NASDAQ,Ferroglobe PLC,8.6,$1.48B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gsm
FCSC,NASDAQ,Fibrocell Science Inc,2,$29.39M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc
FGEN,NASDAQ,"FibroGen, Inc",27.4,$1.92B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fgen
ONEQ,NASDAQ,Fidelity Nasdaq Composite Index Tracking Stock,241.18,$795.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oneq
LION,NASDAQ,Fidelity Southern Corporation,21.6,$569.26M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lion
FDUS,NASDAQ,Fidus Investment Corporation,16.93,$380.21M,2011,n/a,n/a,http://www.nasdaq.com/symbol/fdus
FRGI,NASDAQ,"Fiesta Restaurant Group, Inc.",22.3,$603.52M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frgi
FSAM,NASDAQ,Fifth Street Asset Management Inc.,4.4,$219.39M,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam
FSC,NASDAQ,Fifth Street Finance Corp.,4.315,$608.25M,2008,n/a,n/a,http://www.nasdaq.com/symbol/fsc
FSFR,NASDAQ,Fifth Street Senior Floating Rate Corp.,7.79,$229.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fsfr
FITB,NASDAQ,Fifth Third Bancorp,24.16,$18.13B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
FNGN,NASDAQ,"Financial Engines, Inc.",39.725,$2.5B,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
FISI,NASDAQ,"Financial Institutions, Inc.",33,$479.85M,1999,Finance,Major Banks,http://www.nasdaq.com/symbol/fisi
FNSR,NASDAQ,Finisar Corporation,24.36,$2.71B,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fnsr
FNJN,NASDAQ,"Finjan Holdings, Inc.",2.59,$59.98M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/fnjn
FNTE,NASDAQ,FinTech Acquisition Corp. II,9.75,$232.96M,2017,Finance,Business Services,http://www.nasdaq.com/symbol/fnte
FEYE,NASDAQ,"FireEye, Inc.",14.78,$2.64B,2013,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/feye
FBNC,NASDAQ,First Bancorp,28.91,$713.07M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/fbnc
FNLC,NASDAQ,"First Bancorp, Inc (ME)",25.75,$278.54M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnlc
FRBA,NASDAQ,First Bank,12.55,$143.66M,2013,n/a,n/a,http://www.nasdaq.com/symbol/frba
BUSE,NASDAQ,First Busey Corporation,29.43,$1.13B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
FBIZ,NASDAQ,"First Business Financial Services, Inc.",23.89,$208.28M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbiz
FCAP,NASDAQ,"First Capital, Inc.",32.31,$107.84M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fcap
FCFS,NASDAQ,"First Cash, Inc.",51.9,$2.51B,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/fcfs
FCNCA,NASDAQ,"First Citizens BancShares, Inc.",339.2,$4.07B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcnca
FCBC,NASDAQ,"First Community Bancshares, Inc.",25.5,$433.75M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcbc
FCCO,NASDAQ,First Community Corporation,19.3,$129.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcco
FCFP,NASDAQ,"First Community Financial Partners, Inc.",12.9,$229.8M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcfp
FBNK,NASDAQ,"First Connecticut Bancorp, Inc.",25.275,$402.49M,2011,Finance,Banks,http://www.nasdaq.com/symbol/fbnk
FDEF,NASDAQ,First Defiance Financial Corp.,53.57,$543.48M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fdef
FFBC,NASDAQ,First Financial Bancorp.,26.7,$1.66B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
FFIN,NASDAQ,"First Financial Bankshares, Inc.",39.75,$2.63B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
THFF,NASDAQ,First Financial Corporation Indiana,47,$574.52M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/thff
FFNW,NASDAQ,"First Financial Northwest, Inc.",15.27,$168.52M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffnw
FFWM,NASDAQ,First Foundation Inc.,15.68,$522.81M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffwm
FGBI,NASDAQ,"First Guaranty Bancshares, Inc.",25.58,$194.64M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fgbi
FHB,NASDAQ,"First Hawaiian, Inc.",28.85,$4.03B,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/fhb
INBK,NASDAQ,First Internet Bancorp,28.25,$183.56M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/inbk
FIBK,NASDAQ,"First Interstate BancSystem, Inc.",37.6,$1.7B,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk
FRME,NASDAQ,First Merchants Corporation,40.64,$1.67B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/frme
FMBH,NASDAQ,"First Mid-Illinois Bancshares, Inc.",34.2,$426.8M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbh
FMBI,NASDAQ,"First Midwest Bancorp, Inc.",22.25,$2.29B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
FNWB,NASDAQ,First Northwest Bancorp,16.24,$196.14M,2015,Finance,Banks,http://www.nasdaq.com/symbol/fnwb
FSFG,NASDAQ,"First Savings Financial Group, Inc.",49.36,$110.69M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fsfg
FSLR,NASDAQ,"First Solar, Inc.",36.38,$3.79B,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr
FSBK,NASDAQ,First South Bancorp Inc,13.45,$127.78M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fsbk
FAAR,NASDAQ,First Trust Alternative Absolute Return Strategy ETF,29.2716,$4.39M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/faar
FPA,NASDAQ,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,31.6288,$41.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpa
BICK,NASDAQ,First Trust BICK Index Fund,25.6,$8.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bick
FBZ,NASDAQ,First Trust Brazil AlphaDEX Fund,16.1101,$160.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fbz
FCAN,NASDAQ,First Trust Canada AlphaDEX Fund,22.305,$6.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fcan
FTCS,NASDAQ,First Trust Capital Strength ETF,44.915,$410.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftcs
FCEF,NASDAQ,First Trust CEF Income Opportunity ETF,21.3175,$24.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fcef
FCA,NASDAQ,First Trust China AlphaDEX Fund,21.8482,$4.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fca
SKYY,NASDAQ,First Trust Cloud Computing ETF,39.65,$860.41M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/skyy
FDT,NASDAQ,First Trust Developed Markets Ex-US AlphaDEX Fund,54.415,$274.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fdt
FDTS,NASDAQ,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,37.4,$7.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fdts
FVC,NASDAQ,First Trust Dorsey Wright Dynamic Focus 5 ETF,22.83,$300.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fvc
FV,NASDAQ,First Trust Dorsey Wright Focus 5 ETF,24.53,$2.49B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fv
IFV,NASDAQ,First Trust Dorsey Wright International Focus 5 ETF,20.18,$608.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ifv
FEM,NASDAQ,First Trust Emerging Markets AlphaDEX Fund,22.63,$261.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fem
FEMB,NASDAQ,First Trust Emerging Markets Local Currency Bond ETF,42.59,$38.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/femb
FEMS,NASDAQ,First Trust Emerging Markets Small Cap AlphaDEX Fund,36.51,$178.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fems
FTSM,NASDAQ,First Trust Enhanced Short Maturity ETF,60.01,$828.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftsm
FEP,NASDAQ,First Trust Europe AlphaDEX Fund,34.67,$338.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fep
FEUZ,NASDAQ,First Trust Eurozone AlphaDEX ETF,38.5599,$7.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/feuz
FGM,NASDAQ,First Trust Germany AlphaDEX Fund,42.4,$161.12M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fgm
FTGC,NASDAQ,First Trust Global Tactical Commodity Strategy Fund,20.05,$120.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftgc
FTHI,NASDAQ,First Trust High Income ETF,21.275,$47.32M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fthi
HYLS,NASDAQ,First Trust High Yield Long/Short ETF,49.34,$1.21B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hyls
FHK,NASDAQ,First Trust Hong Kong AlphaDEX Fund,36.99,$9.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fhk
FTAG,NASDAQ,First Trust Indxx Global Agriculture ETF,24.9824,$7.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftag
FTRI,NASDAQ,First Trust Indxx Global Natural Resources Income ETF,11.2878,$9.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftri
FPXI,NASDAQ,First Trust International IPO ETF,30.7,$1.54M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpxi
YDIV,NASDAQ,First Trust International Multi-Asset Diversified Income Index,17.5929,$9.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ydiv
FJP,NASDAQ,First Trust Japan AlphaDEX Fund,51.368,$56.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fjp
FEX,NASDAQ,First Trust Large Cap Core AlphaDEX Fund,51.92,$1.61B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fex
FTC,NASDAQ,First Trust Large Cap Growth AlphaDEX Fund,53.51,$634.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftc
FTA,NASDAQ,First Trust Large Cap Value AlphaDEX Fund,49.07,$1.02B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fta
FLN,NASDAQ,First Trust Latin America AlphaDEX Fund,20.81,$166.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fln
FTLB,NASDAQ,First Trust Low Beta Income ETF,21.0721,$5.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftlb
LMBS,NASDAQ,First Trust Low Duration Opportunities ETF,52.15,$521.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lmbs
FMB,NASDAQ,First Trust Managed Municipal ETF,52.2728,$133.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fmb
FMK,NASDAQ,First Trust Mega Cap AlphaDEX Fund,29.27,$14.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fmk
FNX,NASDAQ,First Trust Mid Cap Core AlphaDEX Fund,58.13,$691.75M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fnx
FNY,NASDAQ,First Trust Mid Cap Growth AlphaDEX Fund,33.84,$93.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fny
FNK,NASDAQ,First Trust Mid Cap Value AlphaDEX Fund,32.7,$58.86M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fnk
FAD,NASDAQ,First Trust Multi Cap Growth AlphaDEX Fund,56.8848,$96.7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fad
FAB,NASDAQ,First Trust Multi Cap Value AlphaDEX Fund,51.25,$110.19M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fab
MDIV,NASDAQ,First Trust Multi-Asset Diversified Income Index Fund,19.32,$878.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdiv
MCEF,NASDAQ,First Trust Municipal CEF Income Opportunity ETF,18.8,$12.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mcef
QABA,NASDAQ,First Trust NASDAQ ABA Community Bank Index Fund,49.49,$393.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qaba
FTXO,NASDAQ,First Trust Nasdaq Bank ETF,25.62,$1B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ftxo
QCLN,NASDAQ,First Trust NASDAQ Clean Edge Green Energy Index Fund,17.19,$57.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qcln
